%%################################################################################
%
% Institution : Professur fuer Stroemungsmechanik (PfS), 
%               Helmut-Schmidt-Universitaet Hamburg (HSU)                
%
% Author      : Michael Breuer 
%
% E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
%
% Test Case   : 2D Periodic Hill Case
%
% Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
%                 3-D finite volume,
%                 Curvilinear body-fitted coordinate system,
%                 Non-staggered (cell-centered) grid arrangement,
%                 Block-structured grids 
%                 Spatial discretization:  central, second-order accurate
%                 Temporal discretization: Predictor-corrector scheme based on 
%                                          low-storage Runge-Kutta scheme, 
%                                          second-order accurate
% 
% Case        : 4   (Re = 2800, DNS) 
%
% Please refer to               
%
%          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
%          Flow over Periodic Hills - Numerical and Experimental Study in
%          a Wide Range of Reynolds Numbers, 
%          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
%          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
%
%          for further details. 
%
%%#################################################################################
%
%   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
%
 3.033407927E+00 2.856744640E-02 3.137193517E-06 7.462816575E-05 1.666399996E-08 2.746630230E-07 5.775636237E-05
 3.027219296E+00 1.348314434E-01 1.132316393E-04 1.367786201E-03 2.171841970E-06 1.999916640E-05 9.896046249E-04
 3.021030426E+00 2.338675410E-01 3.510487732E-04 4.115139600E-03 1.524240906E-05 1.060882278E-04 2.836717991E-03
 3.014841557E+00 3.239935338E-01 7.022446953E-04 7.802669425E-03 4.951521987E-05 2.874092606E-04 5.218834151E-03
 3.008652925E+00 4.044441283E-01 1.147446921E-03 1.163024548E-02 1.104256371E-04 5.492925993E-04 7.670311257E-03
 3.002464056E+00 4.750080705E-01 1.667658216E-03 1.499034930E-02 1.991362806E-04 8.544608136E-04 9.859436192E-03
 2.996275425E+00 5.358154774E-01 2.244669944E-03 1.760245673E-02 3.141116467E-04 1.165691996E-03 1.163334493E-02
 2.990086555E+00 5.877588391E-01 2.863013186E-03 1.945854723E-02 4.522834206E-04 1.457702834E-03 1.298493426E-02
 2.983897924E+00 6.316426396E-01 3.511278657E-03 2.064838260E-02 6.113303243E-04 1.715860795E-03 1.395818684E-02
 2.977709055E+00 6.690059900E-01 4.176556133E-03 2.136127278E-02 7.858984172E-04 1.937740133E-03 1.465241238E-02
 2.971520424E+00 7.010797262E-01 4.850925412E-03 2.173703164E-02 9.720709641E-04 2.126162406E-03 1.514261961E-02
 2.965331554E+00 7.284660935E-01 5.528367590E-03 2.186164260E-02 1.166792121E-03 2.282587113E-03 1.547357906E-02
 2.959142923E+00 7.521960139E-01 6.203925703E-03 2.182739601E-02 1.366381883E-03 2.413004637E-03 1.569725014E-02
 2.952954054E+00 7.729118466E-01 6.873867474E-03 2.168685384E-02 1.567919739E-03 2.521367744E-03 1.584371552E-02
 2.946765423E+00 7.911300659E-01 7.536874153E-03 2.147864178E-02 1.769029535E-03 2.610996133E-03 1.593548805E-02
 2.940576553E+00 8.072895408E-01 8.190398104E-03 2.122834697E-02 1.967952820E-03 2.684819745E-03 1.598838158E-02
 2.934387922E+00 8.218181729E-01 8.835776709E-03 2.094931342E-02 2.161940094E-03 2.746345475E-03 1.600982621E-02
 2.928199053E+00 8.348344564E-01 9.468431585E-03 2.066307701E-02 2.351169474E-03 2.795159584E-03 1.601494290E-02
 2.922010422E+00 8.467810750E-01 1.009295508E-02 2.037072368E-02 2.534678672E-03 2.835052554E-03 1.600546949E-02
 2.915821552E+00 8.575841188E-01 1.070449315E-02 2.007616870E-02 2.709896304E-03 2.865263028E-03 1.598178409E-02
 2.909632683E+00 8.676022291E-01 1.130720507E-02 1.978180930E-02 2.878142288E-03 2.888405928E-03 1.594870910E-02
 2.903444052E+00 8.768813610E-01 1.189925615E-02 1.949048229E-02 3.038292984E-03 2.904731547E-03 1.590795256E-02
 2.897255182E+00 8.854489923E-01 1.248081960E-02 1.920493692E-02 3.189343959E-03 2.913963050E-03 1.586097479E-02
 2.891066551E+00 8.934755921E-01 1.305310801E-02 1.892599836E-02 3.332395339E-03 2.917477163E-03 1.581013948E-02
 2.884877682E+00 9.010146260E-01 1.361633278E-02 1.865418628E-02 3.467363538E-03 2.915471327E-03 1.575611532E-02
 2.878689051E+00 9.081085920E-01 1.417053491E-02 1.838950440E-02 3.594145877E-03 2.908126451E-03 1.569909789E-02
 2.872500181E+00 9.148104787E-01 1.471578516E-02 1.813119836E-02 3.713165177E-03 2.895715646E-03 1.563901454E-02
 2.866311550E+00 9.211511612E-01 1.525242534E-02 1.787911542E-02 3.824470798E-03 2.878435887E-03 1.557583921E-02
 2.860122681E+00 9.271745086E-01 1.578083076E-02 1.763281226E-02 3.928691614E-03 2.856601728E-03 1.550971717E-02
 2.853934050E+00 9.328981042E-01 1.630167291E-02 1.739273034E-02 4.025975242E-03 2.830311656E-03 1.544109825E-02
 2.847745180E+00 9.383521080E-01 1.681397483E-02 1.715868525E-02 4.116932396E-03 2.799795242E-03 1.537030376E-02
 2.841556549E+00 9.435642958E-01 1.731922850E-02 1.693044044E-02 4.202061798E-03 2.765035024E-03 1.529760752E-02
 2.835367680E+00 9.485516548E-01 1.781670377E-02 1.670789719E-02 4.281841684E-03 2.726198407E-03 1.522329636E-02
 2.829179049E+00 9.533326626E-01 1.830735989E-02 1.649098657E-02 4.356743302E-03 2.683346858E-03 1.514775865E-02
 2.822990179E+00 9.579239488E-01 1.879090816E-02 1.627938077E-02 4.427304026E-03 2.636702266E-03 1.507126447E-02
 2.816801548E+00 9.623401165E-01 1.926768571E-02 1.607269235E-02 4.494060762E-03 2.586572664E-03 1.499408390E-02
 2.810612679E+00 9.665967822E-01 1.973969117E-02 1.587042958E-02 4.557430744E-03 2.533172956E-03 1.491640694E-02
 2.804423809E+00 9.706593752E-01 2.020297758E-02 1.567307860E-02 4.617013503E-03 2.476187656E-03 1.483822055E-02
 2.798235178E+00 9.745724797E-01 2.066211589E-02 1.547929272E-02 4.673531745E-03 2.415893134E-03 1.475975104E-02
 2.792046309E+00 9.783528447E-01 2.111453563E-02 1.528945379E-02 4.727801774E-03 2.353146905E-03 1.468209270E-02
